Description,File,Variable,Year
How long per day (minutes),PAQ_C.htm,PAD080,2003-2004
How long period before it ended?,CIQDEP_C.htm,CIQD058,2003-2004
How long since last healthcare visit,HUQ_C.htm,HUQ060,2003-2004
How long since quit smoking cigarettes,SMQ_C.htm,SMQ050Q,2003-2004
How long taking insulin,DIQ_D.htm,DID060,2005-2006
How long to fall asleep (minutes)?,SLQ_D.htm,SLD020M,2005-2006
How long used prednisone or cortisone?,OSQ_D.htm,OSQ140q,2005-2006
How long went on before ended?,CIQDEP_C.htm,CIQD075,2003-2004
How many periods?,CIQDEP_C.htm,CIQD064,2003-2004
How many times urinate in night?,KIQ_U_D.htm,KIQ480,2005-2006
How many years smoked this amount,SMQ_C.htm,SMD075,2003-2004
How much did urine leakage bother you,KIQ_U_C.htm,KIQ050,2003-2004
How much sleep do you get (hours)?,SLQ_D.htm,SLD010H,2005-2006
How much urine lose each time?,KIQ_U_D.htm,KIQ010,2005-2006
How much were daily activities affected,KIQ_U_C.htm,KIQ052,2003-2004
How often check blood for glucose/sugar,DIQ_D.htm,DID260,2005-2006
How often did you not get enough sleep?,SLQ_D.htm,SLQ130,2005-2006
How often difficult control worry?,CIQGAD_C.htm,CIQG15,2003-2004
How often do you check your feet,DIQ_D.htm,DID350,2005-2006
How often do you snore?,SLQ_D.htm,SLQ030,2005-2006
How often do you snort / stop breathing?,SLQ_D.htm,SLQ040,2005-2006
How often drank milk age 13-17,DBQ_D.htm,DBQ235B,2005-2006
How often drank milk age 18-35,DBQ_D.htm,DBQ235C,2005-2006
How often drank milk age 5-12,DBQ_D.htm,DBQ235A,2005-2006
How often feel overly sleepy during day?,SLQ_D.htm,SLQ120,2005-2006
How often feel unrested during the day?,SLQ_D.htm,SLQ110,2005-2006
How often felt bad because of mouth?,OHQ_D.htm,OHQ630,2005-2006
How often have leg jerks while sleeping?,SLQ_D.htm,SLQ150,2005-2006
How often have legs cramp while sleeping,SLQ_D.htm,SLQ160,2005-2006
How often have trouble falling asleep?,SLQ_D.htm,SLQ080,2005-2006
How often have urinary leakage,KIQ_U_D.htm,KIQ005,2005-2006
How often last yr. had aching in mouth?,OHQ_D.htm,OHQ620,2005-2006
How often take pills to help you sleep?,SLQ_D.htm,SLQ140,2005-2006
How often wake up during night?,SLQ_D.htm,SLQ090,2005-2006
How often wake up too early in morning?,SLQ_D.htm,SLQ100,2005-2006
How often worry so strong?,CIQGAD_C.htm,CIQG16,2003-2004
How old were you when first SED?,CIQDEP_C.htm,CIQD111,2003-2004
How old were you when first WTA?,CIQGAD_C.htm,CIQG20,2003-2004
How old when fracture occurred?,OSQ_D.htm,OSD110a,2005-2006
How old when fractured hip?,OSQ_D.htm,OSQ180,2005-2006
How recently avoided situations bc fear?,CIQPAN_C.htm,CIQP05,2003-2004
How recently have concern?,CIQPAN_C.htm,CIQP07,2003-2004
How soon after waking do you smoke,SMQ_C.htm,SMQ077,2003-2004
How soon is the pain relieved,CDQ_C.htm,CDQ006,2003-2004
How upset for feeling WTA?,CIQGAD_C.htm,CIQG24,2003-2004
"Hypertension or high blood pressure,days",PFQ_C.htm,PFD069J,2003-2004
If so does SP continue or slow down,CDQ_C.htm,CDQ004,2003-2004
"In between 4 periods, ok for 2 months?",CIQDEP_C.htm,CIQD087,2003-2004
In long term care facility last 12 month,HUQ_C.htm,HUQ082,2003-2004
Incisal surface code for erosion,OHXADD_C.htm,OHX08ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX07ESI,2003-2004
Incisor Trauma:  #10,OHXDEN_C (1).htm,OHX10TR,2003-2004
Incisor Trauma:  #23,OHXDEN_C (1).htm,OHX23TR,2003-2004
Incisor Trauma:  #24,OHXDEN_C (1).htm,OHX24TR,2003-2004
Incisor Trauma:  #25,OHXDEN_C (1).htm,OHX25TR,2003-2004
Incisor Trauma:  #26,OHXDEN_C (1).htm,OHX26TR,2003-2004
Incisor Trauma:  #7,OHXDEN_C (1).htm,OHX07TR,2003-2004
Incisor Trauma:  #8,OHXDEN_C (1).htm,OHX08TR,2003-2004
Incisor Trauma:  #9,OHXDEN_C (1).htm,OHX09TR,2003-2004
Increasing exercise on own,BPQ_C.htm,BPD110C,2003-2004
Insurance card available or not,HIQ_D.htm,HIQ105,2005-2006
Intake day of the week,DR2TOT_D.htm,DR2DAY,2005-2006
Interviewer ID code,DR2TOT_D.htm,DR2EXMER,2005-2006
Iron (mg),DR2TOT_D.htm,DR2TIRON,2005-2006
"Iron, refigerated (ug/dL)",L40_C.htm,LBXSIR,2003-2004
"Iron, refigerated (umol/L)",L40_C.htm,LBDSIRSI,2003-2004
Irritable duration,CIQDEP_C.htm,CIQD016,2003-2004
Irritable frequency,CIQDEP_C.htm,CIQD015,2003-2004
Is most recent of 4 periods on or ended?,CIQDEP_C.htm,CIQD084,2003-2004
Is second period going on or ended?,CIQDEP_C.htm,CIQD074,2003-2004
Is the period still going on or ended?,CIQDEP_C.htm,CIQD054,2003-2004
Is there one Dr you see for diabetes,DIQ_D.htm,DIQ240,2005-2006
Joined a weight loss program,WHQ_C.htm,WHD080H,2003-2004
LDL-cholesterol (mg/dL),L13AM_C.htm,LBDLDL,2003-2004
LDL-cholesterol (mmol/L),L13AM_C.htm,LBDLDLSI,2003-2004
LOA: distal #10 FGM/CEJ,OHXPRU_C.htm,OHD10CJD,2003-2004
LOA: distal #10 PD,OHXPRU_C.htm,OHD10PCD,2003-2004
LOA: distal #10 calculated LA,OHXPRU_C.htm,OHD10LAD,2003-2004
LOA: distal #11 FGM/CEJ,OHXPRU_C.htm,OHD11CJD,2003-2004
LOA: distal #11 PD,OHXPRU_C.htm,OHD11PCD,2003-2004
LOA: distal #11 calculated LA,OHXPRU_C.htm,OHD11LAD,2003-2004
LOA: distal #12 FGM/CEJ,OHXPRU_C.htm,OHD12CJD,2003-2004
LOA: distal #12 PD,OHXPRU_C.htm,OHD12PCD,2003-2004
LOA: distal #12 calculated LA,OHXPRU_C.htm,OHD12LAD,2003-2004
LOA: distal #13 FGM/CEJ,OHXPRU_C.htm,OHD13CJD,2003-2004
LOA: distal #13 PD,OHXPRU_C.htm,OHD13PCD,2003-2004
LOA: distal #13 calculated LA,OHXPRU_C.htm,OHD13LAD,2003-2004
LOA: distal #14 FGM/CEJ,OHXPRU_C.htm,OHD14CJD,2003-2004
LOA: distal #14 PD,OHXPRU_C.htm,OHD14PCD,2003-2004
LOA: distal #14 calculated LA,OHXPRU_C.htm,OHD14LAD,2003-2004
LOA: distal #15 FGM/CEJ,OHXPRU_C.htm,OHD15CJD,2003-2004
LOA: distal #15 PD,OHXPRU_C.htm,OHD15PCD,2003-2004
LOA: distal #15 calculated LA,OHXPRU_C.htm,OHD15LAD,2003-2004
LOA: distal #18 FGM/CEJ,OHXPRL_C.htm,OHD18CJD,2003-2004
LOA: distal #18 PD,OHXPRL_C.htm,OHD18PCD,2003-2004
LOA: distal #18 calculated LA,OHXPRL_C.htm,OHD18LAD,2003-2004
LOA: distal #19 FGM/CEJ,OHXPRL_C.htm,OHD19CJD,2003-2004
LOA: distal #19 PD,OHXPRL_C.htm,OHD19PCD,2003-2004
LOA: distal #19 calculated LA,OHXPRL_C.htm,OHD19LAD,2003-2004
LOA: distal #2 FGM/CEJ,OHXPRU_C.htm,OHD02CJD,2003-2004
LOA: distal #2 PD,OHXPRU_C.htm,OHD02PCD,2003-2004
LOA: distal #2 calculated LA,OHXPRU_C.htm,OHD02LAD,2003-2004
LOA: distal #20 FGM/CEJ,OHXPRL_C.htm,OHD20CJD,2003-2004
LOA: distal #20 PD,OHXPRL_C.htm,OHD20PCD,2003-2004
LOA: distal #20 calculated LA,OHXPRL_C.htm,OHD20LAD,2003-2004
LOA: distal #21 FGM/CEJ,OHXPRL_C.htm,OHD21CJD,2003-2004
LOA: distal #21 PD,OHXPRL_C.htm,OHD21PCD,2003-2004
LOA: distal #21 calculated LA,OHXPRL_C.htm,OHD21LAD,2003-2004
LOA: distal #22 FGM/CEJ,OHXPRL_C.htm,OHD22CJD,2003-2004
LOA: distal #22 PD,OHXPRL_C.htm,OHD22PCD,2003-2004
LOA: distal #22 calculated LA,OHXPRL_C.htm,OHD22LAD,2003-2004
LOA: distal #23 FGM/CEJ,OHXPRL_C.htm,OHD23CJD,2003-2004
LOA: distal #23 PD,OHXPRL_C.htm,OHD23PCD,2003-2004
LOA: distal #23 calculated LA,OHXPRL_C.htm,OHD23LAD,2003-2004
LOA: distal #24 FGM/CEJ,OHXPRL_C.htm,OHD24CJD,2003-2004
LOA: distal #24 PD,OHXPRL_C.htm,OHD24PCD,2003-2004
LOA: distal #24 calculated LA,OHXPRL_C.htm,OHD24LAD,2003-2004
LOA: distal #25 FGM/CEJ,OHXPRL_C.htm,OHD25CJD,2003-2004
LOA: distal #25 PD,OHXPRL_C.htm,OHD25PCD,2003-2004
LOA: distal #25 calculated LA,OHXPRL_C.htm,OHD25LAD,2003-2004
LOA: distal #26 FGM/CEJ,OHXPRL_C.htm,OHD26CJD,2003-2004
LOA: distal #26 PD,OHXPRL_C.htm,OHD26PCD,2003-2004
LOA: distal #26 calculated LA,OHXPRL_C.htm,OHD26LAD,2003-2004
LOA: distal #27 FGM/CEJ,OHXPRL_C.htm,OHD27CJD,2003-2004
LOA: distal #27 PD,OHXPRL_C.htm,OHD27PCD,2003-2004
LOA: distal #27 calculated LA,OHXPRL_C.htm,OHD27LAD,2003-2004
LOA: distal #28 FGM/CEJ,OHXPRL_C.htm,OHD28CJD,2003-2004
LOA: distal #28 PD,OHXPRL_C.htm,OHD28PCD,2003-2004
LOA: distal #28 calculated LA,OHXPRL_C.htm,OHD28LAD,2003-2004
LOA: distal #29 FGM/CEJ,OHXPRL_C.htm,OHD29CJD,2003-2004
LOA: distal #29 PD,OHXPRL_C.htm,OHD29PCD,2003-2004
LOA: distal #29 calculated LA,OHXPRL_C.htm,OHD29LAD,2003-2004
LOA: distal #3 FGM/CEJ,OHXPRU_C.htm,OHD03CJD,2003-2004
LOA: distal #3 PD,OHXPRU_C.htm,OHD03PCD,2003-2004
LOA: distal #3 calculated LA,OHXPRU_C.htm,OHD03LAD,2003-2004
LOA: distal #30 FGM/CEJ,OHXPRL_C.htm,OHD30CJD,2003-2004
LOA: distal #30 PD,OHXPRL_C.htm,OHD30PCD,2003-2004
LOA: distal #30 calculated LA,OHXPRL_C.htm,OHD30LAD,2003-2004
LOA: distal #31 FGM/CEJ,OHXPRL_C.htm,OHD31CJD,2003-2004
LOA: distal #31 PD,OHXPRL_C.htm,OHD31PCD,2003-2004
LOA: distal #31 calculated LA,OHXPRL_C.htm,OHD31LAD,2003-2004
LOA: distal #4 FGM/CEJ,OHXPRU_C.htm,OHD04CJD,2003-2004
LOA: distal #4 PD,OHXPRU_C.htm,OHD04PCD,2003-2004
LOA: distal #4 calculated LA,OHXPRU_C.htm,OHD04LAD,2003-2004
LOA: distal #5 FGM/CEJ,OHXPRU_C.htm,OHD05CJD,2003-2004
LOA: distal #5 PD,OHXPRU_C.htm,OHD05PCD,2003-2004
LOA: distal #5 calculated LA,OHXPRU_C.htm,OHD05LAD,2003-2004
LOA: distal #6 FGM/CEJ,OHXPRU_C.htm,OHD06CJD,2003-2004
LOA: distal #6 PD,OHXPRU_C.htm,OHD06PCD,2003-2004
LOA: distal #6 calculated LA,OHXPRU_C.htm,OHD06LAD,2003-2004
LOA: distal #7 FGM/CEJ,OHXPRU_C.htm,OHD07CJD,2003-2004
LOA: distal #7 PD,OHXPRU_C.htm,OHD07PCD,2003-2004
LOA: distal #7 calculated LA,OHXPRU_C.htm,OHD07LAD,2003-2004
LOA: distal #8 FGM/CEJ,OHXPRU_C.htm,OHD08CJD,2003-2004
LOA: distal #8 PD,OHXPRU_C.htm,OHD08PCD,2003-2004
LOA: distal #8 calculated LA,OHXPRU_C.htm,OHD08LAD,2003-2004
LOA: distal #9 FGM/CEJ,OHXPRU_C.htm,OHD09CJD,2003-2004
LOA: distal #9 PD,OHXPRU_C.htm,OHD09PCD,2003-2004
LOA: distal #9 calculated LA,OHXPRU_C.htm,OHD09LAD,2003-2004
LOA: mesial #10 FGM/CEJ,OHXPRU_C.htm,OHD10CJS,2003-2004
LOA: mesial #10 PD,OHXPRU_C.htm,OHD10PCS,2003-2004
LOA: mesial #10 calculated LA,OHXPRU_C.htm,OHD10LAS,2003-2004
LOA: mesial #11 FGM/CEJ,OHXPRU_C.htm,OHD11CJS,2003-2004
LOA: mesial #11 PD,OHXPRU_C.htm,OHD11PCS,2003-2004
LOA: mesial #11 calculated LA,OHXPRU_C.htm,OHD11LAS,2003-2004
LOA: mesial #12 FGM/CEJ,OHXPRU_C.htm,OHD12CJS,2003-2004
LOA: mesial #12 PD,OHXPRU_C.htm,OHD12PCS,2003-2004
LOA: mesial #12 calculated LA,OHXPRU_C.htm,OHD12LAS,2003-2004
LOA: mesial #13 FGM/CEJ,OHXPRU_C.htm,OHD13CJS,2003-2004
LOA: mesial #13 PD,OHXPRU_C.htm,OHD13PCS,2003-2004
LOA: mesial #13 calculated LA,OHXPRU_C.htm,OHD13LAS,2003-2004
LOA: mesial #14 FGM/CEJ,OHXPRU_C.htm,OHD14CJS,2003-2004
LOA: mesial #14 PD,OHXPRU_C.htm,OHD14PCS,2003-2004
LOA: mesial #14 calculated LA,OHXPRU_C.htm,OHD14LAS,2003-2004
LOA: mesial #15 FGM/CEJ,OHXPRU_C.htm,OHD15CJS,2003-2004
LOA: mesial #15 PD,OHXPRU_C.htm,OHD15PCS,2003-2004
LOA: mesial #15 calculated LA,OHXPRU_C.htm,OHD15LAS,2003-2004
LOA: mesial #18 FGM/CEJ,OHXPRL_C.htm,OHD18CJS,2003-2004
LOA: mesial #18 PD,OHXPRL_C.htm,OHD18PCS,2003-2004
LOA: mesial #18 calculated LA,OHXPRL_C.htm,OHD18LAS,2003-2004
LOA: mesial #19 FGM/CEJ,OHXPRL_C.htm,OHD19CJS,2003-2004
LOA: mesial #19 PD,OHXPRL_C.htm,OHD19PCS,2003-2004
LOA: mesial #19 calculated LA,OHXPRL_C.htm,OHD19LAS,2003-2004
LOA: mesial #2 FGM/CEJ,OHXPRU_C.htm,OHD02CJS,2003-2004
LOA: mesial #2 PD,OHXPRU_C.htm,OHD02PCS,2003-2004
LOA: mesial #2 calculated LA,OHXPRU_C.htm,OHD02LAS,2003-2004
LOA: mesial #20 FGM/CEJ,OHXPRL_C.htm,OHD20CJS,2003-2004
LOA: mesial #20 PD,OHXPRL_C.htm,OHD20PCS,2003-2004
LOA: mesial #20 calculated LA,OHXPRL_C.htm,OHD20LAS,2003-2004
LOA: mesial #21 FGM/CEJ,OHXPRL_C.htm,OHD21CJS,2003-2004
LOA: mesial #21 PD,OHXPRL_C.htm,OHD21PCS,2003-2004
LOA: mesial #21 calculated LA,OHXPRL_C.htm,OHD21LAS,2003-2004
LOA: mesial #22 FGM/CEJ,OHXPRL_C.htm,OHD22CJS,2003-2004
LOA: mesial #22 PD,OHXPRL_C.htm,OHD22PCS,2003-2004
LOA: mesial #22 calculated LA,OHXPRL_C.htm,OHD22LAS,2003-2004
LOA: mesial #23 FGM/CEJ,OHXPRL_C.htm,OHD23CJS,2003-2004
LOA: mesial #23 PD,OHXPRL_C.htm,OHD23PCS,2003-2004
LOA: mesial #23 calculated LA,OHXPRL_C.htm,OHD23LAS,2003-2004
LOA: mesial #24 FGM/CEJ,OHXPRL_C.htm,OHD24CJS,2003-2004
LOA: mesial #24 PD,OHXPRL_C.htm,OHD24PCS,2003-2004
LOA: mesial #24 calculated LA,OHXPRL_C.htm,OHD24LAS,2003-2004
LOA: mesial #25 FGM/CEJ,OHXPRL_C.htm,OHD25CJS,2003-2004
LOA: mesial #25 PD,OHXPRL_C.htm,OHD25PCS,2003-2004
LOA: mesial #25 calculated LA,OHXPRL_C.htm,OHD25LAS,2003-2004
LOA: mesial #26 FGM/CEJ,OHXPRL_C.htm,OHD26CJS,2003-2004
LOA: mesial #26 PD,OHXPRL_C.htm,OHD26PCS,2003-2004
LOA: mesial #26 calculated LA,OHXPRL_C.htm,OHD26LAS,2003-2004
LOA: mesial #27 FGM/CEJ,OHXPRL_C.htm,OHD27CJS,2003-2004
LOA: mesial #27 PD,OHXPRL_C.htm,OHD27PCS,2003-2004
LOA: mesial #27 calculated LA,OHXPRL_C.htm,OHD27LAS,2003-2004
LOA: mesial #28 FGM/CEJ,OHXPRL_C.htm,OHD28CJS,2003-2004
LOA: mesial #28 PD,OHXPRL_C.htm,OHD28PCS,2003-2004
LOA: mesial #28 calculated LA,OHXPRL_C.htm,OHD28LAS,2003-2004
LOA: mesial #29 FGM/CEJ,OHXPRL_C.htm,OHD29CJS,2003-2004
LOA: mesial #29 PD,OHXPRL_C.htm,OHD29PCS,2003-2004
LOA: mesial #29 calculated LA,OHXPRL_C.htm,OHD29LAS,2003-2004
LOA: mesial #3 FGM/CEJ,OHXPRU_C.htm,OHD03CJS,2003-2004
LOA: mesial #3 PD,OHXPRU_C.htm,OHD03PCS,2003-2004
LOA: mesial #3 calculated LA,OHXPRU_C.htm,OHD03LAS,2003-2004
LOA: mesial #30 FGM/CEJ,OHXPRL_C.htm,OHD30CJS,2003-2004
LOA: mesial #30 PD,OHXPRL_C.htm,OHD30PCS,2003-2004
LOA: mesial #30 calculated LA,OHXPRL_C.htm,OHD30LAS,2003-2004
LOA: mesial #31 FGM/CEJ,OHXPRL_C.htm,OHD31CJS,2003-2004
LOA: mesial #31 PD,OHXPRL_C.htm,OHD31PCS,2003-2004
LOA: mesial #31 calculated LA,OHXPRL_C.htm,OHD31LAS,2003-2004
LOA: mesial #4 FGM/CEJ,OHXPRU_C.htm,OHD04CJS,2003-2004
LOA: mesial #4 PD,OHXPRU_C.htm,OHD04PCS,2003-2004
LOA: mesial #4 calculated LA,OHXPRU_C.htm,OHD04LAS,2003-2004
LOA: mesial #5 FGM/CEJ,OHXPRU_C.htm,OHD05CJS,2003-2004
LOA: mesial #5 PD,OHXPRU_C.htm,OHD05PCS,2003-2004
LOA: mesial #5 calculated LA,OHXPRU_C.htm,OHD05LAS,2003-2004
LOA: mesial #6 FGM/CEJ,OHXPRU_C.htm,OHD06CJS,2003-2004
LOA: mesial #6 PD,OHXPRU_C.htm,OHD06PCS,2003-2004
LOA: mesial #6 calculated LA,OHXPRU_C.htm,OHD06LAS,2003-2004
LOA: mesial #7 FGM/CEJ,OHXPRU_C.htm,OHD07CJS,2003-2004
LOA: mesial #7 PD,OHXPRU_C.htm,OHD07PCS,2003-2004
LOA: mesial #7 calculated LA,OHXPRU_C.htm,OHD07LAS,2003-2004
LOA: mesial #8 FGM/CEJ,OHXPRU_C.htm,OHD08CJS,2003-2004
LOA: mesial #8 PD,OHXPRU_C.htm,OHD08PCS,2003-2004
LOA: mesial #8 calculated LA,OHXPRU_C.htm,OHD08LAS,2003-2004
LOA: mesial #9 FGM/CEJ,OHXPRU_C.htm,OHD09CJS,2003-2004
LOA: mesial #9 PD,OHXPRU_C.htm,OHD09PCS,2003-2004
LOA: mesial #9 calculated LA,OHXPRU_C.htm,OHD09LAS,2003-2004
LOA: mid-facial #10 FGM/CEJ,OHXPRU_C.htm,OHD10CJM,2003-2004
LOA: mid-facial #10 PD,OHXPRU_C.htm,OHD10PCM,2003-2004
LOA: mid-facial #10 calculated LA,OHXPRU_C.htm,OHD10LAM,2003-2004
LOA: mid-facial #11 FGM/CEJ,OHXPRU_C.htm,OHD11CJM,2003-2004
LOA: mid-facial #11 PD,OHXPRU_C.htm,OHD11PCM,2003-2004
LOA: mid-facial #11 calculated LA,OHXPRU_C.htm,OHD11LAM,2003-2004
LOA: mid-facial #12 FGM/CEJ,OHXPRU_C.htm,OHD12CJM,2003-2004
LOA: mid-facial #12 PD,OHXPRU_C.htm,OHD12PCM,2003-2004
LOA: mid-facial #12 calculated LA,OHXPRU_C.htm,OHD12LAM,2003-2004
LOA: mid-facial #13 FGM/CEJ,OHXPRU_C.htm,OHD13CJM,2003-2004
LOA: mid-facial #13 PD,OHXPRU_C.htm,OHD13PCM,2003-2004
LOA: mid-facial #13 calculated LA,OHXPRU_C.htm,OHD13LAM,2003-2004
LOA: mid-facial #14 FGM/CEJ,OHXPRU_C.htm,OHD14CJM,2003-2004
LOA: mid-facial #14 PD,OHXPRU_C.htm,OHD14PCM,2003-2004
LOA: mid-facial #14 calculated LA,OHXPRU_C.htm,OHD14LAM,2003-2004
LOA: mid-facial #15 FGM/CEJ,OHXPRU_C.htm,OHD15CJM,2003-2004
LOA: mid-facial #15 PD,OHXPRU_C.htm,OHD15PCM,2003-2004
LOA: mid-facial #15 calculated LA,OHXPRU_C.htm,OHD15LAM,2003-2004
LOA: mid-facial #18 FGM/CEJ,OHXPRL_C.htm,OHD18CJM,2003-2004
LOA: mid-facial #18 PD,OHXPRL_C.htm,OHD18PCM,2003-2004
LOA: mid-facial #18 calculated LA,OHXPRL_C.htm,OHD18LAM,2003-2004
LOA: mid-facial #19 FGM/CEJ,OHXPRL_C.htm,OHD19CJM,2003-2004
LOA: mid-facial #19 PD,OHXPRL_C.htm,OHD19PCM,2003-2004
LOA: mid-facial #19 calculated LA,OHXPRL_C.htm,OHD19LAM,2003-2004
LOA: mid-facial #2 FGM/CEJ,OHXPRU_C.htm,OHD02CJM,2003-2004
LOA: mid-facial #2 PD,OHXPRU_C.htm,OHD02PCM,2003-2004
LOA: mid-facial #2 calculated LA,OHXPRU_C.htm,OHD02LAM,2003-2004
LOA: mid-facial #20 FGM/CEJ,OHXPRL_C.htm,OHD20CJM,2003-2004
LOA: mid-facial #20 PD,OHXPRL_C.htm,OHD20PCM,2003-2004
LOA: mid-facial #20 calculated LA,OHXPRL_C.htm,OHD20LAM,2003-2004
LOA: mid-facial #21 FGM/CEJ,OHXPRL_C.htm,OHD21CJM,2003-2004
LOA: mid-facial #21 PD,OHXPRL_C.htm,OHD21PCM,2003-2004
LOA: mid-facial #21 calculated LA,OHXPRL_C.htm,OHD21LAM,2003-2004
LOA: mid-facial #22 FGM/CEJ,OHXPRL_C.htm,OHD22CJM,2003-2004
LOA: mid-facial #22 PD,OHXPRL_C.htm,OHD22PCM,2003-2004
LOA: mid-facial #22 calculated LA,OHXPRL_C.htm,OHD22LAM,2003-2004
LOA: mid-facial #23 FGM/CEJ,OHXPRL_C.htm,OHD23CJM,2003-2004
LOA: mid-facial #23 PD,OHXPRL_C.htm,OHD23PCM,2003-2004
LOA: mid-facial #23 calculated LA,OHXPRL_C.htm,OHD23LAM,2003-2004
LOA: mid-facial #24 FGM/CEJ,OHXPRL_C.htm,OHD24CJM,2003-2004
LOA: mid-facial #24 PD,OHXPRL_C.htm,OHD24PCM,2003-2004
LOA: mid-facial #24 calculated LA,OHXPRL_C.htm,OHD24LAM,2003-2004
LOA: mid-facial #25 FGM/CEJ,OHXPRL_C.htm,OHD25CJM,2003-2004
LOA: mid-facial #25 PD,OHXPRL_C.htm,OHD25PCM,2003-2004
LOA: mid-facial #25 calculated LA,OHXPRL_C.htm,OHD25LAM,2003-2004
LOA: mid-facial #26 FGM/CEJ,OHXPRL_C.htm,OHD26CJM,2003-2004
LOA: mid-facial #26 PD,OHXPRL_C.htm,OHD26PCM,2003-2004
LOA: mid-facial #26 calculated LA,OHXPRL_C.htm,OHD26LAM,2003-2004
LOA: mid-facial #27 FGM/CEJ,OHXPRL_C.htm,OHD27CJM,2003-2004
LOA: mid-facial #27 PD,OHXPRL_C.htm,OHD27PCM,2003-2004
LOA: mid-facial #27 calculated LA,OHXPRL_C.htm,OHD27LAM,2003-2004
LOA: mid-facial #28 FGM/CEJ,OHXPRL_C.htm,OHD28CJM,2003-2004
LOA: mid-facial #28 PD,OHXPRL_C.htm,OHD28PCM,2003-2004
LOA: mid-facial #28 calculated LA,OHXPRL_C.htm,OHD28LAM,2003-2004
LOA: mid-facial #29 FGM/CEJ,OHXPRL_C.htm,OHD29CJM,2003-2004
LOA: mid-facial #29 PD,OHXPRL_C.htm,OHD29PCM,2003-2004
LOA: mid-facial #29 calculated LA,OHXPRL_C.htm,OHD29LAM,2003-2004
LOA: mid-facial #3 PD,OHXPRU_C.htm,OHD03PCM,2003-2004
LOA: mid-facial #3 calculated LA,OHXPRU_C.htm,OHD03LAM,2003-2004
LOA: mid-facial #30 FGM/CEJ,OHXPRL_C.htm,OHD30CJM,2003-2004
LOA: mid-facial #30 PD,OHXPRL_C.htm,OHD30PCM,2003-2004
LOA: mid-facial #30 calculated LA,OHXPRL_C.htm,OHD30LAM,2003-2004
LOA: mid-facial #31 FGM/CEJ,OHXPRL_C.htm,OHD31CJM,2003-2004
LOA: mid-facial #31 PD,OHXPRL_C.htm,OHD31PCM,2003-2004
LOA: mid-facial #31 calculated LA,OHXPRL_C.htm,OHD31LAM,2003-2004
LOA: mid-facial #4 FGM/CEJ,OHXPRU_C.htm,OHD04CJM,2003-2004
LOA: mid-facial #4 PD,OHXPRU_C.htm,OHD04PCM,2003-2004
LOA: mid-facial #4 calculated LA,OHXPRU_C.htm,OHD04LAM,2003-2004
LOA: mid-facial #5 FGM/CEJ,OHXPRU_C.htm,OHD05CJM,2003-2004
LOA: mid-facial #5 PD,OHXPRU_C.htm,OHD05PCM,2003-2004
LOA: mid-facial #5 calculated LA,OHXPRU_C.htm,OHD05LAM,2003-2004
LOA: mid-facial #6 FGM/CEJ,OHXPRU_C.htm,OHD06CJM,2003-2004
LOA: mid-facial #6 PD,OHXPRU_C.htm,OHD06PCM,2003-2004
LOA: mid-facial #6 calculated LA,OHXPRU_C.htm,OHD06LAM,2003-2004
LOA: mid-facial #7 FGM/CEJ,OHXPRU_C.htm,OHD07CJM,2003-2004
LOA: mid-facial #7 PD,OHXPRU_C.htm,OHD07PCM,2003-2004
LOA: mid-facial #7 calculated LA,OHXPRU_C.htm,OHD07LAM,2003-2004
LOA: mid-facial #8 FGM/CEJ,OHXPRU_C.htm,OHD08CJM,2003-2004
LOA: mid-facial #8 PD,OHXPRU_C.htm,OHD08PCM,2003-2004
LOA: mid-facial #8 calculated LA,OHXPRU_C.htm,OHD08LAM,2003-2004
LOA: mid-facial #9 FGM/CEJ,OHXPRU_C.htm,OHD09CJM,2003-2004
LOA: mid-facial #9 PD,OHXPRU_C.htm,OHD09PCM,2003-2004
LOA: mid-facial #9 calculated LA,OHXPRU_C.htm,OHD09LAM,2003-2004
LOA:mid-facial #3 FGM/CEJ,OHXPRU_C.htm,OHD03CJM,2003-2004
Lactate dehydrogenase LDH (U/L),L40_C.htm,LBXSLDSI,2003-2004
Language respondent used mostly,DR2TOT_D.htm,DR2LANG,2005-2006
Language(s) read and spoken,ACQ_C.htm,ACQ020,2003-2004
Language(s) used as child,ACQ_C.htm,ACQ030,2003-2004
Language(s) usually spoken at home,ACQ_C.htm,ACD040,2003-2004
Language(s) usually used to think,ACQ_C.htm,ACQ050,2003-2004
Language(s) usually used with friends,ACQ_C.htm,ACQ060,2003-2004
"Large adult used, poor thigh cuff fit",LEXAB_C.htm,LEQ020,2003-2004
Largest no. attack any four weeks,CIQPAN_C.htm,CIQP55,2003-2004
Largest no. attacks any one week,CIQPAN_C.htm,CIQP54,2003-2004
Last blood pressure reading by doctor,BPQ_C.htm,BPQ010,2003-2004
Last time had pupils dilated for exam,DIQ_D.htm,DIQ360,2005-2006
Last time used nicotine stop smoking aid,SMQRTU_D.htm,SMQ840,2005-2006
Last yr avoid some food because of mouth,OHQ_D.htm,OHQ660,2005-2006
Last yr couldn't eat because of mouth,OHQ_D.htm,OHQ670,2005-2006
Last yr embarrassed because of mouth,OHQ_D.htm,OHQ680,2005-2006
Last yr had diff w/ job because of mouth,OHQ_D.htm,OHQ640,2005-2006
Last yr taste affected because of mouth,OHQ_D.htm,OHQ650,2005-2006
