Description,File,Variable,Year
Age esophageal cancer first diagnosed,MCQ_D.htm,MCQ240H,2005-2006
Age gallbladder cancer first diagnosed,MCQ_D.htm,MCQ240I,2005-2006
Age larynx/windpipe cancer diagnosed,MCQ_D.htm,MCQ240K,2005-2006
Age lymphoma/Hodgkin's diagnosed,MCQ_D.htm,MCQ240O,2005-2006
Age mouth\tongue\lip cancer diagnosed,MCQ_D.htm,MCQ240Q,2005-2006
Age nervous system cancer diagnosed,MCQ_D.htm,MCQ240R,2005-2006
Age non-melanoma skin cancer diagnosed,MCQ_D.htm,MCQ240W,2005-2006
Age other type of cancer first diagnosed,MCQ_D.htm,MCQ240DD,2005-2006
Age pancreatic cancer first diagnosed,MCQ_D.htm,MCQ240T,2005-2006
Age prostate cancer first diagnosed,MCQ_D.htm,MCQ240U,2005-2006
Age soft tissue cancer first diagnosed,MCQ_D.htm,MCQ240Y,2005-2006
Age stomach cancer first diagnosed,MCQ_D.htm,MCQ240Z,2005-2006
Age testicular cancer first diagnosed,MCQ_D.htm,MCQ240AA,2005-2006
Age unknown skin cancer first diagnosed,MCQ_D.htm,MCQ240X,2005-2006
Age when bladder cancer first diagnosed,MCQ_D.htm,MCQ240A,2005-2006
Age when blood cancer first diagnosed,MCQ_D.htm,MCQ240B,2005-2006
Age when bone cancer first diagnosed,MCQ_D.htm,MCQ240C,2005-2006
Age when brain cancer first diagnosed,MCQ_D.htm,MCQ240D,2005-2006
Age when breast cancer first diagnosed,MCQ_D.htm,MCQ240E,2005-2006
Age when cervical cancer first diagnosed,MCQ_D.htm,MCQ240F,2005-2006
Age when colon cancer first diagnosed,MCQ_D.htm,MCQ240G,2005-2006
Age when first had PSA test,MCQ_D.htm,MCQ320,2005-2006
Age when first had asthma,MCQ_D.htm,MCQ025,2005-2006
Age when kidney cancer first diagnosed,MCQ_D.htm,MCQ240J,2005-2006
Age when leukemia first diagnosed,MCQ_D.htm,MCQ240L,2005-2006
Age when liver cancer first diagnosed,MCQ_D.htm,MCQ240M,2005-2006
Age when lung cancer first diagnosed,MCQ_D.htm,MCQ240N,2005-2006
Age when melanoma first diagnosed,MCQ_D.htm,MCQ240P,2005-2006
Age when ovarian cancer first diagnosed,MCQ_D.htm,MCQ240S,2005-2006
Age when rectal cancer first diagnosed,MCQ_D.htm,MCQ240V,2005-2006
Age when thyroid cancer first diagnosed,MCQ_D.htm,MCQ240BB,2005-2006
Age when told had coronary heart disease,MCQ_D.htm,MCQ180C,2005-2006
Age when told you had a liver condition,MCQ_D.htm,MCQ180L,2005-2006
Age when told you had a stroke,MCQ_D.htm,MCQ180F,2005-2006
Age when told you had a thyroid problem,MCQ_D.htm,MCQ180M,2005-2006
Age when told you had angina pectoris,MCQ_D.htm,MCQ180D,2005-2006
Age when told you had arthritis,MCQ_D.htm,MCQ180A,2005-2006
Age when told you had chronic bronchitis,MCQ_D.htm,MCQ180K,2005-2006
Age when told you had emphysema,MCQ_D.htm,MCQ180G,2005-2006
Age when told you had heart attack,MCQ_D.htm,MCQ180E,2005-2006
Age when told you had heart failure,MCQ_D.htm,MCQ180B,2005-2006
Age when uterine cancer first diagnosed,MCQ_D.htm,MCQ240CC,2005-2006
Biological family member - brother,MCQ_D.htm,MCQ268D,2005-2006
Biological family member-father's father,MCQ_D.htm,MCQ268C,2005-2006
Biological family member-mother's father,MCQ_D.htm,MCQ268B,2005-2006
Biological family members - father,MCQ_D.htm,MCQ268A,2005-2006
Blood relative have/had prostate cancer,MCQ_D.htm,MCQ265,2005-2006
Close relative had asthma?,MCQ_D.htm,MCQ300B,2005-2006
Close relative had diabetes?,MCQ_D.htm,MCQ300C,2005-2006
Close relative had heart attack?,MCQ_D.htm,MCQ300A,2005-2006
Do you still have a liver condition,MCQ_D.htm,MCQ170L,2005-2006
Do you still have a thyroid problem,MCQ_D.htm,MCQ170M,2005-2006
Do you still have chronic bronchitis,MCQ_D.htm,MCQ170K,2005-2006
Doctor ever said you had arthritis,MCQ_D.htm,MCQ160A,2005-2006
Doctor ever said you were overweight,MCQ_D.htm,MCQ080,2005-2006
Emergency care visit for asthma/past yr,MCQ_D.htm,MCQ050,2005-2006
Ever been told you have asthma,MCQ_D.htm,MCQ010,2005-2006
Ever have blood test to check PSA?,MCQ_D.htm,MCQ310,2005-2006
Ever receive blood transfusion,MCQ_D.htm,MCQ092,2005-2006
Ever told PSA test was not normal?,MCQ_D.htm,MCQ350,2005-2006
Ever told had congestive heart failure,MCQ_D.htm,MCQ160B,2005-2006
Ever told you had a stroke,MCQ_D.htm,MCQ160F,2005-2006
Ever told you had a thyroid problem,MCQ_D.htm,MCQ160M,2005-2006
Ever told you had angina/angina pectoris,MCQ_D.htm,MCQ160D,2005-2006
Ever told you had any liver condition,MCQ_D.htm,MCQ160L,2005-2006
Ever told you had cancer or malignancy,MCQ_D.htm,MCQ220,2005-2006
Ever told you had chronic bronchitis,MCQ_D.htm,MCQ160K,2005-2006
Ever told you had coronary heart disease,MCQ_D.htm,MCQ160C,2005-2006
Ever told you had emphysema,MCQ_D.htm,MCQ160G,2005-2006
Ever told you had heart attack,MCQ_D.htm,MCQ160E,2005-2006
Had asthma attack in past year,MCQ_D.htm,MCQ040,2005-2006
How long ago was last PSA test?,MCQ_D.htm,MCD330,2005-2006
How many PSA tests in past 5 years?,MCQ_D.htm,MCQ340,2005-2006
How old when cancer first diagnosed?,MCQ_D.htm,MCQ240DK,2005-2006
Menstrual periods started yet?,MCQ_D.htm,MCQ149,2005-2006
Respondent sequence number,MCQ_D.htm,SEQN,2005-2006
School days missed from injury/illness,MCQ_D.htm,MCQ150G,2005-2006
Still have asthma,MCQ_D.htm,MCQ035,2005-2006
Taking treatment for anemia/past 3 mos,MCQ_D.htm,MCQ053,2005-2006
Trouble seeing even with glass/contacts,MCQ_D.htm,MCQ140,2005-2006
What kind of cancer,MCQ_D.htm,MCQ230A,2005-2006
What kind of cancer,MCQ_D.htm,MCQ230B,2005-2006
What kind of cancer,MCQ_D.htm,MCQ230C,2005-2006
What kind of cancer,MCQ_D.htm,MCQ230D,2005-2006
Which type of arthritis,MCQ_D.htm,MCQ190,2005-2006
Work days missed for illness/maternity,MCQ_D.htm,MCQ245A,2005-2006
Year receive blood transfusion,MCQ_D.htm,MCD093,2005-2006
# Hrs/day smell tobacco smoke at work,OCQ_C.htm,OCQ290Q,2003-2004
# hours/day constant loud noise on job,OCQ_C.htm,OCQ440,2003-2004
Avg # hours loud noise exposure now,OCQ_C.htm,OCQ360,2003-2004
Check Item,OCQ_C.htm,OCQ400,2003-2004
Check Item,OCQ_C.htm,OCQ200,2003-2004
Check Item,OCQ_C.htm,OCQ370,2003-2004
Check Item,OCQ_C.htm,OCQ410,2003-2004
Check Item,OCQ_C.htm,OCQ460,2003-2004
Currently exposed to loud noise at work,OCQ_C.htm,OCQ350,2003-2004
Description of job/work situation,OCQ_C.htm,OCQ260,2003-2004
Duration of longest job (months),OCQ_C.htm,OCD395,2003-2004
Ever exposed to loud work noise 3+months,OCQ_C.htm,OCQ340,2003-2004
Hours worked last week at all jobs,OCQ_C.htm,OCQ180,2003-2004
Industry group code: current job,OCQ_C.htm,OCD230,2003-2004
Industry group code: job asthma began,OCQ_C.htm,OCD480,2003-2004
Kind of job held when had asthma,OCQ_C.htm,OCD470G,2003-2004
Kind of work you have done the longest,OCQ_C.htm,OCD390G,2003-2004
Loud job noise: 3 months on longest job?,OCQ_C.htm,OCQ430,2003-2004
"Loud job noise: ever exposed, 3 months?",OCQ_C.htm,OCQ420,2003-2004
Main reason did not work last week,OCQ_C.htm,OCQ380,2003-2004
Number of months working in the main job,OCQ_C.htm,OCD270,2003-2004
Occupation group code: current job,OCQ_C.htm,OCD240,2003-2004
Occupation group code: job asthma began,OCQ_C.htm,OCD470,2003-2004
Occupation group code: longest job,OCQ_C.htm,OCD390,2003-2004
Respondent sequence number,OCQ_C.htm,SEQN,2003-2004
Smell tobacco smoke at work,OCQ_C.htm,OCQ290G,2003-2004
Type of work done last week,OCQ_C.htm,OCD150,2003-2004
Usually work 35 or more hours per week,OCQ_C.htm,OCQ210,2003-2004
Wear ear protection during work,OCQ_C.htm,OCQ450,2003-2004
"Wear hearing protection, current job?",OCQ_C.htm,OCQ295,2003-2004
# Hrs/day smell tobacco smoke at work,OCQ_D.htm,OCQ290Q,2005-2006
Check Item,OCQ_D.htm,OCQ370,2005-2006
Check Item,OCQ_D.htm,OCQ200,2005-2006
Description of job/work situation,OCQ_D.htm,OCQ260,2005-2006
Duration of longest job (months),OCQ_D.htm,OCD395,2005-2006
Hours worked last week at all jobs,OCQ_D.htm,OCQ180,2005-2006
Industry group code: current job,OCQ_D.htm,OCD231,2005-2006
Kind of work you have done the longest,OCQ_D.htm,OCD390G,2005-2006
Main reason did not work last week,OCQ_D.htm,OCQ380,2005-2006
Number of months working in the main job,OCQ_D.htm,OCD270,2005-2006
Occupation group code: current job,OCQ_D.htm,OCD241,2005-2006
Occupation group code: longest job,OCQ_D.htm,OCD392,2005-2006
Respondent sequence number,OCQ_D.htm,SEQN,2005-2006
Smell tobacco smoke at work,OCQ_D.htm,OCQ290G,2005-2006
Type of work done last week,OCQ_D.htm,OCD150,2005-2006
Usually work 35 or more hours per week,OCQ_D.htm,OCQ210,2005-2006
Which best describes hours worked?,OCQ_D.htm,OCQ265,2005-2006
Afraid or do not like dentists,OHQ_C.htm,OHQ780G,2003-2004
Amount of saliva in mouth,OHQ_C.htm,OHQ095,2003-2004
Another dentist recommended not doing it,OHQ_C.htm,OHQ780F,2003-2004
CHECK ITEM,OHQ_C.htm,OHQ755,2003-2004
CHECK ITEM,OHQ_C.htm,OHQ600,2003-2004
CHECK ITEM,OHQ_C.htm,OHQ075b,2003-2004
Could not afford the cost,OHQ_C.htm,OHQ780A,2003-2004
Dental office is too far away,OHQ_C.htm,OHQ780D,2003-2004
Did not want to spend the money,OHQ_C.htm,OHQ780B,2003-2004
Do you or SP need dentures made?,OHQ_C.htm,OHD721,2003-2004
Do you or SP need gum treatment?,OHQ_C.htm,OHD730,2003-2004
Do you or SP need relief of pain?,OHQ_C.htm,OHD740,2003-2004
Do you or SP need teeth cleaned?,OHQ_C.htm,OHD750,2003-2004
Do you or SP need teeth pulled?,OHQ_C.htm,OHD700,2003-2004
Expected dental problems to go away,OHQ_C.htm,OHQ780J,2003-2004
How long since had teeth cleaned,OHQ_C.htm,OHQ760,2003-2004
How often felt bad because of mouth?,OHQ_C.htm,OHQ630,2003-2004
How often last yr. had aching in mouth?,OHQ_C.htm,OHQ620,2003-2004
Insurance did not cover procedures,OHQ_C.htm,OHQ780C,2003-2004
Last yr avoid some food because of mouth,OHQ_C.htm,OHQ660,2003-2004
Last yr couldn't eat because of mouth,OHQ_C.htm,OHQ670,2003-2004
Last yr embarrassed because of mouth,OHQ_C.htm,OHQ680,2003-2004
Last yr had diff w/ job because of mouth,OHQ_C.htm,OHQ640,2003-2004
Last yr taste affected because of mouth,OHQ_C.htm,OHQ650,2003-2004
Main reason for last dental visit,OHQ_C.htm,OHQ033,2003-2004
Mouth feel dry when eating meal,OHQ_C.htm,OHQ115,2003-2004
Need any teeth filled or replaced?,OHQ_C.htm,OHD691,2003-2004
Need teeth pulled because of appearance,OHQ_C.htm,OHD711E,2003-2004
Need teeth pulled because of cavities,OHQ_C.htm,OHD711B,2003-2004
Need teeth pulled because of gum probs,OHQ_C.htm,OHD711D,2003-2004
Need teeth pulled because of lost fillin,OHQ_C.htm,OHD711C,2003-2004
Need teeth pulled because of other,OHQ_C.htm,OHD711G,2003-2004
Need teeth pulled because of pain,OHQ_C.htm,OHD711A,2003-2004
Office not open at convenient time,OHQ_C.htm,OHQ780E,2003-2004
Other,OHQ_C.htm,OHQ780K,2003-2004
Past yr need dental but couldn't get it,OHQ_C.htm,OHQ770,2003-2004
Respondent sequence number,OHQ_C.htm,SEQN,2003-2004
Too busy,OHQ_C.htm,OHQ780I,2003-2004
Unable to take time off from work,OHQ_C.htm,OHQ780H,2003-2004
When did you last visit a dentist,OHQ_C.htm,OHQ030,2003-2004
Condition of teeth,OHQ_D.htm,OHQ011,2005-2006
How often felt bad because of mouth?,OHQ_D.htm,OHQ630,2005-2006
How often last yr. had aching in mouth?,OHQ_D.htm,OHQ620,2005-2006
Last yr avoid some food because of mouth,OHQ_D.htm,OHQ660,2005-2006
Last yr couldn't eat because of mouth,OHQ_D.htm,OHQ670,2005-2006
Last yr embarrassed because of mouth,OHQ_D.htm,OHQ680,2005-2006
Last yr had diff w/ job because of mouth,OHQ_D.htm,OHQ640,2005-2006
Last yr taste affected because of mouth,OHQ_D.htm,OHQ650,2005-2006
Respondent sequence number,OHQ_D.htm,SEQN,2005-2006
Anterior Zone:,OHX_D.htm,OHXFCANT,2005-2006
Dental decay present,OHX_D.htm,OHXDECAY,2005-2006
Dental restoration present,OHX_D.htm,OHXREST,2005-2006
Dental sealant present,OHX_D.htm,OHXSEAL,2005-2006
Left - Zone 1,OHX_D.htm,OHXFCLZ1,2005-2006
Left - Zone 2,OHX_D.htm,OHXFCLZ2,2005-2006
Left - Zone 3,OHX_D.htm,OHXFCLZ3,2005-2006
Left - Zone 4,OHX_D.htm,OHXFCLZ4,2005-2006
Left - Zone 5,OHX_D.htm,OHXFCLZ5,2005-2006
Left - Zone 6,OHX_D.htm,OHXFCLZ6,2005-2006
Left - Zone 7,OHX_D.htm,OHXFCLZ7,2005-2006
Left - Zone 8,OHX_D.htm,OHXFCLZ8,2005-2006
Overall Oral Health Exam Status,OHX_D.htm,OHAEXSTS,2005-2006
Removable complete/partial mand. denture,OHX_D.htm,OHQ430,2005-2006
Removable complete/partial max denture,OHX_D.htm,OHQ410,2005-2006
Respondent sequence number,OHX_D.htm,SEQN,2005-2006
Right - Zone 1,OHX_D.htm,OHXFCRZ1,2005-2006
Right - Zone 2,OHX_D.htm,OHXFCRZ2,2005-2006
Right - Zone 3,OHX_D.htm,OHXFCRZ3,2005-2006
Right - Zone 4,OHX_D.htm,OHXFCRZ4,2005-2006
Right - Zone 5,OHX_D.htm,OHXFCRZ5,2005-2006
Right - Zone 6,OHX_D.htm,OHXFCRZ6,2005-2006
Right - Zone 7,OHX_D.htm,OHXFCRZ7,2005-2006
Right - Zone 8,OHX_D.htm,OHXFCRZ8,2005-2006
Tooth count: #1,OHX_D.htm,OHX01HTC,2005-2006
Tooth count: #10,OHX_D.htm,OHX10HTC,2005-2006
Tooth count: #11,OHX_D.htm,OHX11HTC,2005-2006
Tooth count: #12,OHX_D.htm,OHX12HTC,2005-2006
Tooth count: #13,OHX_D.htm,OHX13HTC,2005-2006
Tooth count: #14,OHX_D.htm,OHX14HTC,2005-2006
Tooth count: #15,OHX_D.htm,OHX15HTC,2005-2006
Tooth count: #16,OHX_D.htm,OHX16HTC,2005-2006
Tooth count: #17,OHX_D.htm,OHX17HTC,2005-2006
Tooth count: #18,OHX_D.htm,OHX18HTC,2005-2006
Tooth count: #19,OHX_D.htm,OHX19HTC,2005-2006
Tooth count: #2,OHX_D.htm,OHX02HTC,2005-2006
Tooth count: #20,OHX_D.htm,OHX20HTC,2005-2006
Tooth count: #21,OHX_D.htm,OHX21HTC,2005-2006
Tooth count: #22,OHX_D.htm,OHX22HTC,2005-2006
Tooth count: #23,OHX_D.htm,OHX23HTC,2005-2006
Tooth count: #24,OHX_D.htm,OHX24HTC,2005-2006
Tooth count: #25,OHX_D.htm,OHX25HTC,2005-2006
Tooth count: #26,OHX_D.htm,OHX26HTC,2005-2006
Tooth count: #27,OHX_D.htm,OHX27HTC,2005-2006
Tooth count: #28,OHX_D.htm,OHX28HTC,2005-2006
Tooth count: #29,OHX_D.htm,OHX29HTC,2005-2006
Tooth count: #3,OHX_D.htm,OHX03HTC,2005-2006
Tooth count: #30,OHX_D.htm,OHX30HTC,2005-2006
Tooth count: #31,OHX_D.htm,OHX31HTC,2005-2006
Tooth count: #32,OHX_D.htm,OHX32HTC,2005-2006
Tooth count: #4,OHX_D.htm,OHX04HTC,2005-2006
Tooth count: #5,OHX_D.htm,OHX05HTC,2005-2006
Tooth count: #6,OHX_D.htm,OHX06HTC,2005-2006
Tooth count: #7,OHX_D.htm,OHX07HTC,2005-2006
Tooth count: #8,OHX_D.htm,OHX08HTC,2005-2006
Tooth count: #9,OHX_D.htm,OHX09HTC,2005-2006
Was participant exam position recumbent,OHX_D.htm,OHAPOS,2005-2006
Wears complete/partial Mand. denture,OHX_D.htm,OHQ440,2005-2006
Wears complete/partial max denture,OHX_D.htm,OHQ420,2005-2006
Anterior FOC zone,OHXADD_C.htm,OHXFCANT,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX22ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX06ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX25ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX26ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX27ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX24ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX23ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX10ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX07ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX08ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX09ESF,2003-2004
Facial surface code for erosion,OHXADD_C.htm,OHX11ESF,2003-2004
Incisal surface code for erosion,OHXADD_C.htm,OHX08ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX26ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX22ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX23ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX24ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX27ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX25ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX11ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX09ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX06ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX07ESI,2003-2004
Incisial surface code for erosion,OHXADD_C.htm,OHX10ESI,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX06ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX10ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX22ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX23ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX24ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX09ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX08ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX11ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX27ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX26ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX07ESL,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX25ESL,2003-2004
Maximal incisal opening (mm),OHXADD_C.htm,OHXMAXIN,2003-2004
Occlusal surface code for erosion,OHXADD_C.htm,OHX03ESO,2003-2004
Occlusal surface code for erosion,OHXADD_C.htm,OHX19ESO,2003-2004
Occlusal surface code for erosion,OHXADD_C.htm,OHX14ESO,2003-2004
Occlusal surface code for erosion,OHXADD_C.htm,OHX30ESO,2003-2004
Overall Oral Health Exam Status,OHXADD_C.htm,OHAEXSTS,2003-2004
Posterior Left  FOC Zone 1,OHXADD_C.htm,OHXFCLZ1,2003-2004
Posterior Left  FOC Zone 2,OHXADD_C.htm,OHXFCLZ2,2003-2004
Posterior Left  FOC Zone 3,OHXADD_C.htm,OHXFCLZ3,2003-2004
Posterior Left  FOC Zone 4,OHXADD_C.htm,OHXFCLZ4,2003-2004
Posterior Left  FOC Zone 5,OHXADD_C.htm,OHXFCLZ5,2003-2004
Posterior Left  FOC Zone 6,OHXADD_C.htm,OHXFCLZ6,2003-2004
Posterior Left  FOC Zone 7,OHXADD_C.htm,OHXFCLZ7,2003-2004
Posterior Left  FOC Zone 8,OHXADD_C.htm,OHXFCLZ8,2003-2004
Posterior Right FOC Zone 1,OHXADD_C.htm,OHXFCRZ1,2003-2004
Posterior Right FOC Zone 2,OHXADD_C.htm,OHXFCRZ2,2003-2004
Posterior Right FOC Zone 3,OHXADD_C.htm,OHXFCRZ3,2003-2004
Posterior Right FOC Zone 4,OHXADD_C.htm,OHXFCRZ4,2003-2004
Posterior Right FOC Zone 5,OHXADD_C.htm,OHXFCRZ5,2003-2004
Posterior Right FOC Zone 6,OHXADD_C.htm,OHXFCRZ6,2003-2004
Posterior Right FOC Zone 7,OHXADD_C.htm,OHXFCRZ7,2003-2004
Posterior Right FOC Zone 8,OHXADD_C.htm,OHXFCRZ8,2003-2004
Respondent sequence number,OHXADD_C.htm,SEQN,2003-2004
Status code for Contacts,OHXADD_C.htm,OHDFCST,2003-2004
"Status code for Tooth ""Wear""",OHXADD_C.htm,OHDDEST,2003-2004
Coronal Caries:  Surface condition #10,OHXDEN_C (1).htm,OHX10CSC,2003-2004
Coronal Caries:  Surface condition #11,OHXDEN_C (1).htm,OHX11CSC,2003-2004
Coronal Caries:  Surface condition #12,OHXDEN_C (1).htm,OHX12CSC,2003-2004
Coronal Caries:  Surface condition #13,OHXDEN_C (1).htm,OHX13CSC,2003-2004
Coronal Caries:  Surface condition #14,OHXDEN_C (1).htm,OHX14CSC,2003-2004
Coronal Caries:  Surface condition #15,OHXDEN_C (1).htm,OHX15CSC,2003-2004
Coronal Caries:  Surface condition #19,OHXDEN_C (1).htm,OHX19CSC,2003-2004
Coronal Caries:  Surface condition #2,OHXDEN_C (1).htm,OHX02CSC,2003-2004
Coronal Caries:  Surface condition #20,OHXDEN_C (1).htm,OHX20CSC,2003-2004
Coronal Caries:  Surface condition #21,OHXDEN_C (1).htm,OHX21CSC,2003-2004
Coronal Caries:  Surface condition #22,OHXDEN_C (1).htm,OHX22CSC,2003-2004
Coronal Caries:  Surface condition #23,OHXDEN_C (1).htm,OHX23CSC,2003-2004
Coronal Caries:  Surface condition #24,OHXDEN_C (1).htm,OHX24CSC,2003-2004
Coronal Caries:  Surface condition #25,OHXDEN_C (1).htm,OHX25CSC,2003-2004
Coronal Caries:  Surface condition #26,OHXDEN_C (1).htm,OHX26CSC,2003-2004
Coronal Caries:  Surface condition #27,OHXDEN_C (1).htm,OHX27CSC,2003-2004
Coronal Caries:  Surface condition #28,OHXDEN_C (1).htm,OHX28CSC,2003-2004
Coronal Caries:  Surface condition #29,OHXDEN_C (1).htm,OHX29CSC,2003-2004
Coronal Caries:  Surface condition #3,OHXDEN_C (1).htm,OHX03CSC,2003-2004
Coronal Caries:  Surface condition #30,OHXDEN_C (1).htm,OHX30CSC,2003-2004
Coronal Caries:  Surface condition #31,OHXDEN_C (1).htm,OHX31CSC,2003-2004
Coronal Caries:  Surface condition #4,OHXDEN_C (1).htm,OHX04CSC,2003-2004
Coronal Caries:  Surface condition #5,OHXDEN_C (1).htm,OHX05CSC,2003-2004
Coronal Caries:  Surface condition #6,OHXDEN_C (1).htm,OHX06CSC,2003-2004
Coronal Caries:  Surface condition #7,OHXDEN_C (1).htm,OHX07CSC,2003-2004
Coronal Caries:  Surface condition #8,OHXDEN_C (1).htm,OHX08CSC,2003-2004
Coronal Caries:  Surface condition #9,OHXDEN_C (1).htm,OHX09CSC,2003-2004
Coronal Caries:  Tooth count  #8,OHXDEN_C (1).htm,OHX08CTC,2003-2004
Coronal Caries:  Tooth count #10,OHXDEN_C (1).htm,OHX10CTC,2003-2004
Coronal Caries:  Tooth count #12,OHXDEN_C (1).htm,OHX12CTC,2003-2004
Coronal Caries:  Tooth count #13,OHXDEN_C (1).htm,OHX13CTC,2003-2004
Coronal Caries:  Tooth count #14,OHXDEN_C (1).htm,OHX14CTC,2003-2004
Coronal Caries:  Tooth count #15,OHXDEN_C (1).htm,OHX15CTC,2003-2004
Coronal Caries:  Tooth count #18,OHXDEN_C (1).htm,OHX18CTC,2003-2004
Coronal Caries:  Tooth count #19,OHXDEN_C (1).htm,OHX19CTC,2003-2004
Coronal Caries:  Tooth count #2,OHXDEN_C (1).htm,OHX02CTC,2003-2004
Coronal Caries:  Tooth count #20,OHXDEN_C (1).htm,OHX20CTC,2003-2004
Coronal Caries:  Tooth count #21,OHXDEN_C (1).htm,OHX21CTC,2003-2004
Coronal Caries:  Tooth count #22,OHXDEN_C (1).htm,OHX22CTC,2003-2004
Coronal Caries:  Tooth count #23,OHXDEN_C (1).htm,OHX23CTC,2003-2004
Coronal Caries:  Tooth count #24,OHXDEN_C (1).htm,OHX24CTC,2003-2004
Coronal Caries:  Tooth count #25,OHXDEN_C (1).htm,OHX25CTC,2003-2004
Coronal Caries:  Tooth count #26,OHXDEN_C (1).htm,OHX26CTC,2003-2004
Coronal Caries:  Tooth count #27,OHXDEN_C (1).htm,OHX27CTC,2003-2004
Coronal Caries:  Tooth count #28,OHXDEN_C (1).htm,OHX28CTC,2003-2004
Coronal Caries:  Tooth count #29,OHXDEN_C (1).htm,OHX29CTC,2003-2004
Coronal Caries:  Tooth count #3,OHXDEN_C (1).htm,OHX03CTC,2003-2004
Coronal Caries:  Tooth count #30,OHXDEN_C (1).htm,OHX30CTC,2003-2004
Coronal Caries:  Tooth count #31,OHXDEN_C (1).htm,OHX31CTC,2003-2004
Coronal Caries:  Tooth count #4,OHXDEN_C (1).htm,OHX04CTC,2003-2004
Coronal Caries:  Tooth count #5,OHXDEN_C (1).htm,OHX05CTC,2003-2004
Coronal Caries:  Tooth count #6,OHXDEN_C (1).htm,OHX06CTC,2003-2004
Coronal Caries:  Tooth count #7,OHXDEN_C (1).htm,OHX07CTC,2003-2004
Coronal Caries:  Tooth count #9,OHXDEN_C (1).htm,OHX09CTC,2003-2004
Coronal Caries: Surface condition #18,OHXDEN_C (1).htm,OHX18CSC,2003-2004
Coronal Caries: Tooth Count #11,OHXDEN_C (1).htm,OHX11CTC,2003-2004
Dental Implant: yes / no?,OHXDEN_C (1).htm,OHXIMP,2003-2004
Dental Sealants:  #10,OHXDEN_C (1).htm,OHX10SE,2003-2004
Dental Sealants:  #12,OHXDEN_C (1).htm,OHX12SE,2003-2004
Dental Sealants:  #13,OHXDEN_C (1).htm,OHX13SE,2003-2004
Dental Sealants:  #14,OHXDEN_C (1).htm,OHX14SE,2003-2004
Dental Sealants:  #15,OHXDEN_C (1).htm,OHX15SE,2003-2004
Dental Sealants:  #18,OHXDEN_C (1).htm,OHX18SE,2003-2004
Dental Sealants:  #19,OHXDEN_C (1).htm,OHX19SE,2003-2004
Dental Sealants:  #2,OHXDEN_C (1).htm,OHX02SE,2003-2004
Dental Sealants:  #20,OHXDEN_C (1).htm,OHX20SE,2003-2004
Dental Sealants:  #21,OHXDEN_C (1).htm,OHX21SE,2003-2004
Dental Sealants:  #28,OHXDEN_C (1).htm,OHX28SE,2003-2004
Dental Sealants:  #29,OHXDEN_C (1).htm,OHX29SE,2003-2004
Dental Sealants:  #3,OHXDEN_C (1).htm,OHX03SE,2003-2004
Dental Sealants:  #30,OHXDEN_C (1).htm,OHX30SE,2003-2004
Dental Sealants:  #31,OHXDEN_C (1).htm,OHX31SE,2003-2004
Dental Sealants:  #4,OHXDEN_C (1).htm,OHX04SE,2003-2004
Dental Sealants:  #5,OHXDEN_C (1).htm,OHX05SE,2003-2004
Dental Sealants:  #7,OHXDEN_C (1).htm,OHX07SE,2003-2004
Dentition Status Code,OHXDEN_C (1).htm,OHASCST3,2003-2004
